,Studio,animators,artists,binary_rating,budget,directors,directors_score,gross,music,num_animators,num_artists,num_crew,num_directors,num_music,num_producers,num_ratings,num_visual,num_visual_fx,num_writers,producers,producers_score,profit,rating,ratio,title,visual_fx,writers,writers_score,writersproducers_score,year
0,Clubhouse Pictures,"[ Junko Abe
,  Takashi Abe
,  Shingo Araki
,  Bob Curtis
,  Ikuo Fudanoki
,  Yukiyoshi Hane
,  Teruo Hattori
,  Mario Ishiyama
,  Tetsuo Kadoya
,  Junko Kashimura
,  Toshiaki Kobayashi
,  Emilie Kong
,  Kazuko Kurosawa
,  Gita Lloyd
,  Shigeo Matoba
,  Sadao Miyamoto
,  Katsuyoshi Nakatsuru
,  Takashi Nashizawa
,  Masatoyo Ogura
,  Yoshiaki Okada
,  Izumi Okamura
,  Hirohide Shikishima
,  Kiyomi Sugita
,  Kimiko Tamazawa
,  Masako Yamauchi
,  Yoshitaka Yashima
,  Yohko Yasunaga
,  Kenji Yokoyama
]","[ Roy Wilson
]",0.0,0.0,[],0,0.0,[],28,1,51,0,0,6,320,28.0,0,2,"[ Thomas Coleman
,  Masaharu Etô
,  Robert O. Kaplan
,  John G. Marshall
,  Michael Rosenblatt
,  Masahisa Saeki
]",10,0.0,5.9,0.0,The Adventures of the American Rabbit  ,[],"[ Stewart Moskowitz
,  Norm Lenzer
]",2,12,1986
1,Ashi Productions Company,"[ Masashi Abe
,  Toshie Abiru
,  Takako Aita
,  Atsuko Aizawa
,  Hiroshi Aoki
,  Chitose Asakura
,  Kôichi Chigira
,  Noriko Fujimoto
,  Fumio Fukushima
,  Masakazu Furuya
,  Mitsuhiro Fushida
,  Nobuyoshi Habara
,  Kôji Hasegawa
,  Harumi Hike
,  Masako Hirao
,  Masaki Hosoyama
,  Chûichi Iguchi
,  Chie Ikeda
,  Yûji Ikeda
,  Miwa Imai
,  Tetsuo Inoue
,  Tatsurô Iseri
,  Kôji Itô
,  Shûichi Itô
,  Takashi Iwao
,  Takuji Jizoumoto
,  Jun Kagami
,  Hideki Kaihô
,  Hiromitsu Kaku
,  Chikako Kamata
,  Mayumi Kanai
,  Toshiaki Kanbara
,  Shigeru Katô
,  Hiroshi Kawamata
,  Toshihiro Kawamoto
,  Akemi Kobayashi
,  Yoshiyuki Kobayashi
,  Kazuko Kodama
,  Toshihisa Koyama
,  Masaki Kudô
,  Yoshitaka Kôno
,  Meiju Maeda
,  Tomiko Maeda
,  Kenichi Maejima
,  Hironobu Maekawa
,  Yoshiaki Matsuda
,  Emiko Matsumoto
,  Etsuko Matsunaga
,  Hiromi Miyake
,  Yasuko Miyake
,  Harumi Murakami
,  Nobuyasu Murakami
,  Fumie Muroi
,  Masanori Nagashima
,  Yuriko Nagaya
,  Kazumitsu Nishinaga
,  Rie Nishino
,  Susumu Nishizawa
,  Megumi Nojima
,  Miyuki Nonaka
,  Mayumi Ogura
,  Jun Okabe
,  Motoko Okuno
,  Kyooko Ootake
,  Haruko Ozaki
,  Satoshi Saga
,  Miyuki Sakai
,  Shigeko Sakuma
,  Masakatsu Sasaki
,  Masaru Satô
,  Rieko Satô
,  Shigeharu Sekiguchi
,  Miyako Shibata
,  Naoko Shibayama
,  Michinori Shirado
,  Hiromi Suzuki
,  Kazuko Suzuki
,  Shinichi Suzuki
,  Tatsuya Suzuki
,  Hiroyuki Takagi
,  Kazuyo Takahashi
,  Akio Takami
,  Keiko Takano
,  Masao Takano
,  Yuka Takeuchi
,  Fumihiro Takinami
,  Akemi Takizawa
,  Masahiko Tamaru
,  Masahiro Tanaka
,  Masayoshi Tano
,  Atsuo Tobe
,  Osamu Tsuruyama
,  Makoto Uchiyama
,  Yoshimi Umino
,  Satoru Utsunomiya
,  Katsuhiro Yamada
,  Toru Yamada
,  Shin'ichi Yamane
,  Osamu Yamasaki
,  Harumi Yoneda
, ...]","[ Miyoko Kobayashi
,  Tomohiko Saito
,  Junko Yamamoto
]",0.0,0.0,[],0,0.0,"[ Junji Fujita
,  Mareya Ôishi
]",109,3,151,0,2,6,62,109.0,0,1,"[ Masamichi Fujiwara
,  Hiroshi Kato
,  Hideo Kawano
,  Yutaka Takahashi
,  Tsuneo Tamura
,  Masaru Umehara
]",14,0.0,6.2,0.0,Ai City  ,[],"[ Shuuhou Itahashi
]",1,15,1986
2,Universal Pictures,"[ Diane Albracht
,  Renee Ilsa Alcazar
,  Tim Allen
,  Jane Anderson
,  Peter Anderson
,  Tamara Anderson
,  Charlotte Armstrong
,  Debra Armstrong
,  Barry Atkinson
,  Leslie Aust
,  Anne Marie Bardwell
,  Vonnie Batson
,  Mannix Bennett
,  Richard Bentham
,  Russell Boland
,  Brian Boylan
,  Mary Boylan
,  Ann Brennan
,  Melanie Burke
,  Barbara Butterworth
,  Kent Butterworth
,  Robert Byrne
,  Annette Byrne-Morel
,  Michael Carey
,  Daryl Carstensen
,  Yvonne Carthy
,  Don Casey
,  Michael Cedeno
,  Karen China
,  Mark Christiansen
,  Don Cloud
,  Gerard Coleman
,  David Concepcion
,  Nicholas Connolly
,  Eileen Conway
,  Lorna Cook
,  Aidan Cooney
,  Lisa Corcoran
,  Jesse Cosio
,  Annamarie Costa
,  Nollaig Crombie
,  Stephen Cullen
,  Laurie Curran
,  Anne Marie Daly
,  Donnachada Daly
,  Thomas Daly
,  Eric Daniels
,  Gene Dauer
,  Denis Deegan
,  Gary Delise
,  Brian Dempsey
,  Sean Dempsey
,  James DeValera Mansfield
,  Hope Devlin Kristiansen
,  Kevin Donoghue
,  Madeleine Downes
,  Colm Duggan
,  Karen Dwyer
,  Robin Eaton
,  John Eddings
,  Terri Eddings
,  Gerard Egan
,  Jeff Etter
,  Gina Evans
,  Jill Everett
,  Michael Fisher
,  John Fitzgerald
,  Sylvia Fitzpatrick
,  Alan Fleming
,  Elaine Fox
,  Kevin Fox
,  Donal Freeney
,  Michael Garry
,  Philip Garry
,  Fiona Gavin
,  Mary Gavin
,  Peter Gentle
,  Mike Genz
,  Patrick Gleeson
,  Deborah Goddard
,  David Goetz
,  Vernette Griffee
,  David Groome
,  Heidi Guedel
,  Carlos Guitierrez
,  Edgar Gutierrez
,  Andrew Haldeman
,  Gary Hall
,  Barbara Lynn Hamane
,  Brendan Harris
,  Anne Hazard
,  Bernard Heriott
,  Gillian Higgins
,  Silvia Hoefnagels
,  Todd Hoff
,  T. Daniel Hofstedt
,  Karin Holmquist
,  Jacqueline Hooks
,  Jon L. Hooper
,  Emily Jiuliano
, ...]","[ John Alvin
,  Don Bluth
,  Larry Leker
,  Drew Struzan
]",0.0,0.0,[],0,47.483002,"[ Pete Anthony
,  Jason Bentley
,  Tom Boyd
,  Elin Carlson
,  Gloria Cheng
,  Michael Clifford
,  Alexander Courage
,  Sandy DeCrescent
,  George Doering
,  Chuck Domanico
,  Michael Fisher
,  Mark Graham
,  J.J. Holiday
,  Ernie Locket
,  London Symphony Orchestra
,  Greig McRitchie
,  Sean Murphy
,  Shawn Murphy
,  Jasper Randall
,  John Rodd
,  Marni Sanders
,  Steven L. Smith
,  Eric Tomlinson
,  Jonathan Williams
,  John Beal
,  Denise Carver
,  Betsy Cathcart
,  Tonia Davall
,  Dom DeLuise
,  Phillip Glasser
,  Johnny Guarnieri
,  Warren Hays
,  T. Daniel Hofstedt
,  James Ingram
,  John Moses
,  Shawn Murphy
,  Nehemiah Persoff
,  Christopher Plummer
,  Linda Ronstadt
,  James Thatcher
,  Booker White
]",228,4,390,0,41,9,39270,250.0,22,5,"[ Kate Barker
,  Don Bluth
,  Gary Goldman
,  Kathleen Kennedy
,  David Kirschner
,  Frank Marshall
,  Deborah Jelin Newmyer
,  John Pomeroy
,  Steven Spielberg
]",71,47.483002,6.9,0.0964912280702,An American Tail  ,"[ Barry Atkinson
,  Anne Marie Bardwell
,  Dave Bossert
,  Michael Casey
,  Fred Craig
,  David Goetz
,  Jeff Howard
,  Tom Hush
,  Patrick Johnson
,  Dan Kuenster
,  Diann Landau
,  Dorse A. Lanpher
,  William Lorencz
,  David McCamley
,  David 'Joey' Mildenberger
,  Stephen B. Moore
,  Ralf Palmer
,  Don Paul
,  Kathleen Quaife-Hodge
,  Mark Swan
,  Dave Tidgwell
,  Jon Macht
]","[ Judy Freudberg
,  Tony Geiss
,  David Kirschner
,  Judy Freudberg
,  Tony Geiss
]",45,116,1986
3,Mitsubishi,[],[],0.0,0.0,[],0,0.0,"[ Shigeaki Saegusa
]",0,0,7,0,1,5,151,0.0,0,1,"[ Peter Bavaro
,  Shinji Nakagawa
,  Shizuo Sengoku
,  Yoshio Takano
,  Toru Yoshida
]",6,0.0,5.9,0.0,Amon Saga  ,[],"[ Noboru Shiroyama
]",1,7,1986
4,Bandai Visual Company,"[ Satoru Utsunomiya
,  Hiroshi Watanabe
]",[],0.0,0.0,[],0,0.0,[],2,0,3,0,0,1,176,2.0,0,0,"[ Yasuyoshi Tokuma
]",11,0.0,6.5,0.0,Arion  ,[],[],0,11,1986
5,Nelvana,"[ Sam Agro
,  John Aird
,  Rick Allen
,  Jackie Allinson
,  Lilliane Andre
,  Evelyn Baker
,  Anne Marie Bardwell
,  Charles E. Bastien
,  Scott Bennett
,  Richard Bentham
,  Peter Bielicki
,  Charles Bonifacio
,  Paul Bouchard
,  Rejean Bourdages
,  Ross Campbell
,  Marie Carter
,  Glenn Chadwick
,  Eric Chu
,  Rick Corrigan
,  Bob Cowan
,  Gabor Csakany
,  Jeff Dickson
,  Sam Dixon
,  Shane Doyle
,  Harold Duckett
,  Nancy Easun
,  Tony Egizii
,  Mary Eklund
,  John Flagg
,  Brian Foster
,  Gerry Fournier
,  Mike Girard
,  Scott Glynn
,  Denis Gonzalez
,  Faye Hamilton
,  Michelle Houston
,  Gary Hurst
,  Tony Iacobelli
,  Bob Jacques
,  Roger Jakubiec
,  Woong Cheon Jang
,  Pat Knight
,  Chris Labonte
,  Brian Lee
,  Jan Leitch
,  Brian Lemay
,  Arnie Lipsey
,  Richard Carl Livingston
,  Barbara Massey
,  Armen Melkonian
,  Roy Meurin
,  Eileen Middleton
,  Ron Migliore
,  Jim Nakashima
,  John Pagan
,  Ralf Palmer
,  Howy Parkins
,  Irene Parkins
,  Bill Payne
,  Dave Pemberton
,  Wendy Perdue
,  Bill Perkins
,  Brian Poehlman
,  Clive Powsey
,  Debra Pugh
,  Dave Quesnelle
,  Amanda Robinson
,  Lyndon Ruddy
,  Rob Sadler
,  Shawn Seles
,  Arna Selznick
,  J.D. Smith
,  Karen Stephenson
,  Ken Stephenson
,  Allen Swerling
,  Anthony Van Bruggen
,  John van Bruggen
,  Cynthia Ward
,  Lynn Yamazaki
,  Trevor Keen
]","[ Sam Agro
,  Charles Bonifacio
,  Alan Bunce
,  Ross Campbell
,  Kim Cleary
,  Roy Meurin
,  Cathy Parkes
,  Wendy Perdue
,  Dave Quesnelle
,  Dale Schott
,  Anthony Van Bruggen
,  Cynthia Ward
]",0.0,0.0,[],0,8.540346,"[ Milton Barnes
,  David Greene
,  Stephen Hudecki
,  Gordon Kidd
,  George Massenburg
,  Carol Parks
,  Dean Parks
]",80,12,180,0,7,11,1696,86.0,6,1,"[ John Bohach
,  Jack Chojnacki
,  Michael Hirsh
,  Peter Hudecki
,  Lenora Hume
,  Harvey Levin
,  Patrick Loubert
,  Carole MacGillvray
,  Paul Pressler
,  Clive A. Smith
,  Heather Walker
]",59,8.540346,5.3,0.075,Care Bears Movie II: A New Generation  ,"[ Willy Ashworth
,  Trevor Davies
,  Dawn Lee
,  Dave Marshall
,  Jan Steel Moffatt
,  Peter Yamasaki
]","[ Peter Sauder
]",8,67,1986
6,Hubley Studios,"[ Janet Benn
,  Elizabeth Sackler Berner
,  Fred Burns
,  Robert Cannon
,  Constance D'Antuono
,  Tissa David
,  Phil Duncan
,  Emily Hubley
,  Faith Hubley
,  Georgia Hubley
,  Bill Littlejohn
,  Marie Poe
,  Ed Smith
,  Kate Wodell
]",[],0.0,0.0,[],0,0.0,[],14,0,21,0,0,2,42,14.0,0,0,"[ Emily Hubley
,  Faith Hubley
]",3,0.0,6.9,0.0,The Cosmic Eye  ,[],[],0,3,1986
7,Yoram Gross Films,"[ Rowen Avon-Smith
,  Paul Baker
,  Jennie Barber
,  Karen Barboutis
,  Mark Benvenuti
,  Hanka Bilyk
,  Graham Binding
,  Lucyna Bronz
,  Rodney Brunsdon
,  John Burge
,  Nobuko Burnfield
,  Joseph Cabatuan
,  Sheila Christofides
,  Barbara Coy
,  Barry Dean
,  Medgie DeVela
,  Annamaria Dimmers
,  Robyn Drayton
,  Amber Ellis
,  Greg Farrugia
,  Ariel Ferrari
,  Gaillyn Gadston
,  Peter Gardiner
,  Murray Griffin
,  Natasha Gross
,  Max Gunner
,  Nicholas Harding
,  Maria Haren
,  Narelle Hopley
,  Debby Horne
,  Mimi Intal
,  Vicki Joyce
,  Wayne Kelly
,  Gennady Kozlov
,  Babetta Latooy
,  Sarah Lawson
,  Wallace Logue
,  Clare Lyonette
,  Paulette Martin
,  Paul McAdam
,  Corallee Munro
,  Ray Nowland
,  Kathie O'Rourke
,  Julie Peters
,  Domingo Rivera
,  Jung-Ae Ro
,  John Robertson
,  Vicki Robinson
,  Sophia Ruo Liu
,  Mirella Schneider
,  Mike Stapleton
,  Jan Stephens
,  Bela Szeman
,  Andrew Szemenyei
,  Christiane Van Der Casseyen
,  Stan Walker
,  Di Wu
,  Norman Yeend
,  Antony Zmak
]","[ Eric David
,  Ray Nowland
]",0.0,0.0,[],0,0.0,"[ Paul Adolphus
]",59,2,91,0,1,2,60,59.0,0,1,"[ Sandra Gross
,  Yoram Gross
]",18,0.0,6.2,0.0,Dot and Keeto  ,[],"[ John Palmer
]",5,23,1986
8,Yoram Gross Films,"[ Lynell Adams
,  Rowen Avon-Smith
,  Paul Baker
,  Jennie Barber
,  Karen Barboutis
,  Mark Benvenuti
,  Hanka Bilyk
,  Graham Binding
,  John Burge
,  Nobuko Burnfield
,  Joseph Cabatuan
,  Sheila Christofides
,  Lucinda Clutterbuck
,  Geoff Collins
,  Gairden Cooke
,  Barry Dean
,  Annamaria Dimmers
,  Robyn Drayton
,  Phillip Einfeld
,  Amber Ellis
,  Greg Farrugia
,  Ariel Ferrari
,  Gaillyn Gadston
,  Murray Griffin
,  Nicholas Harding
,  Maria Haren
,  Debby Horne
,  Mimi Intal
,  Wayne Kelly
,  Gennady Kozlov
,  Sarah Lawson
,  Wallace Logue
,  Clare Lyonette
,  Paulette Martin
,  Paul McAdam
,  Peter McDonald
,  Corallee Munro
,  Ray Nowland
,  Kathie O'Rourke
,  Domingo Rivera
,  Jung-Ae Ro
,  John Robertson
,  Sophia Ruo Liu
,  Jan Stevens
,  Bela Szeman
,  Andrew Szemenyei
,  Stan Walker
,  Di Wu
,  Jimmy Xu
,  Norman Yeend
,  Antony Zmak
]","[ Eric David
,  Phillip Einfeld
,  Jun Rivera
]",0.0,0.0,[],0,0.0,[],51,3,88,0,0,2,106,59.0,8,1,"[ Sandra Gross
,  Yoram Gross
]",18,0.0,6.8,0.156862745098,Dot and the Whale  ,"[ Angela Bodini
,  Sheila Christofides
,  Amber Ellis
,  Kathie O'Rourke
,  Jung-Ae Ro
,  Janet Robinson
,  Jeanette Toms
,  Christiane Van Der Casseyen
]","[ John Palmer
]",5,23,1986
9,Bird Studios,"[ Kiyotoshi Aoi
,  Katsumi Aoshima
,  Sonomi Aramaki
,  Kunihiro Chida
,  Yukio Ebisawa
,  Kazuo Enomoto
,  Mako Fujioka
,  Sachiko Gokita
,  Kyôko Higurashi
,  Kimiko Hoshino
,  Takeo Ide
,  Masayo Imai
,  Shinji Itô
,  Yoshiko Katachikihara
,  Shinji Kubota
,  Minoru Maeda
,  Kiyomi Masuda
,  Akiko Matsumoto
,  Naoki Mishiba
,  Yoshifumi Miyaji
,  Hitomi Mizunashi
,  Hiroshi Mochizuki
,  Mayumi Nakamura
,  Miyuki Nakamura
,  Katsuyoshi Nakatsuru
,  Takuji Nakayama
,  Masahiro Naoi
,  Satoshi Nishimura
,  Etsuko Ogasawara
,  Teruhisa Ryû
,  Kazuya Sakurada
,  Tetsurô Sano
,  Wakako Satô
,  Akemi Seki
,  Yasuyuki Shimizu
,  Riyôji Shin'no
,  Hiromitsu Shiozaki
,  Junko Shirasu
,  Masami Suda
,  Hatsue Suzuki
,  Yasuko Suzuki
,  Hiroshi Takeuchi
,  Tomekichi Takeuchi
,  Mikiko Tanaka
,  Sachiko Torimoto
,  Sachie Tsukagoshi
,  Masayuki Uchiyama
,  Tomoko Ueki
,  Ikuyo Uemura
,  Kôichi Wada
,  Takashi Yoshiike
,  Shinzô Yuki
]","[ Kunio Kaneshima
,  Haruo Tamura
]",0.0,0.0,[],0,0.0,[],52,2,82,0,0,2,1337,52.0,0,3,"[ Chiaki Imada
,  Keizô Shichijô
]",10,0.0,7.1,0.0,Dragon Ball: Curse of the Blood Rubies  ,[],"[ Akira Toriyama
,  Yoshifumi Yûki
,  Toshiki Inoue
]",7,17,1986
